,site_cost,site_link,site_title,site_unit,unitcost
0,349.99,/products/steyk-iz-lopatki-iz-yuzhnoamerikanskoy-mramornoy-govyadiny-avstraliyskiy-torgovyy-dom-urugvay-300-g/,"Стейк из лопатки из южноамериканской мраморной говядины Австралийский Торговый Дом Уругвай, 300 г",за 1 шт.,1166.63
2,449.0,/products/govyazhya-noga-na-kosti-1-upakovka-500-950-g/,"Говяжья нога на кости, 1 упаковка (400-600 г)",за 1 кг,449.0
3,299.0,/products/govyazhya-grudinka-na-kosti-1-upakovka-350-650-g/,"Говяжья грудинка на кости, 1 упаковка (400-600 г)",за 1 кг,299.0
7,599.0,/products/govyadina-tazobedrennaya-chast-1-upakovka-800-1000-g/,"Говядина, тазобедренная часть, 1 упаковка (400-600 г)",за 1 кг,599.0
21,299.0,/products/govyazhi-rebryshki-1-upakovka-700-1200-g/,"Говяжьи ребрышки, 1 упаковка (400-600 г)",за 1 кг,299.0
0,219.0,/products/svinaya-lopatka-na-kosti-so-shkuroy-1-upakovka-1-3-2-4-kg/,"Свиная лопатка на кости со шкурой, 1 упаковка (0,9-1,1 кг)",за 1 кг,219.0
2,339.0,/products/svinoy-steyk-na-kosti-1-upakovka-600-650-g/,"Свиной стейк на кости, 1 упаковка (400-600 г)",за 1 кг,339.0
4,359.0,/products/svinoy-okorok-1-upakovka-700-1200-g/,"Свиной окорок, 1 упаковка (400-600 г)",за 1 кг,359.0
7,329.0,/products/svinoy-okorok-svyshe-5-kg-1-upakovka-5-6-kg/,"Свиной окорок свыше 5 кг, 1 упаковка (5-6 кг)",за 1 кг,329.0
10,199.0,/products/svinaya-grudinka-na-kosti-so-shkuroy-1-upakovka-900-1300-g/,"Свиная грудинка на кости со шкурой, 1 упаковка (0,9-1,1 кг)",за 1 кг,199.0
13,359.0,/products/svinaya-sheya-na-kosti-kotleta-1-upakovka-500-900-g/,"Свиная шея на кости (котлета), 1 упаковка (400-600 г)",за 1 кг,359.0
16,339.0,/products/svinoy-karbonad-na-kosti-kotleta-1-upakovka-400-700-g/,"Свиной карбонад на кости (котлета), 1 упаковка (400-600 г)",за 1 кг,339.0
0,359.0,/products/baranya-golyashka-1-upakovka-500-700-g/,"Баранья голяшка, 1 упаковка (400-600 г)",за 1 кг,359.0
2,549.0,/products/baraniy-okorok-okhlazhdennyy-na-kosti-1-kg/,"Бараний окорок на кости, 1 упаковка (400-600 г)",за 1 кг,549.0
3,469.0,/products/baranya-lopatka-na-kosti-1-upakovka-450-650-g/,"Баранья лопатка на кости, 1 упаковка (400-600 г)",за 1 кг,469.0
5,399.0,/products/baranya-sheya-okhlazhdennaya-1-upakovka-400-650-g/,"Баранья шея, 1 упаковка (400-600 г)",за 1 кг,399.0
6,1969.0,/products/koreyka-molodogo-barashka-meat-craft-1-upakovka-0-3-0-7-kg/,"Корейка молодого барашка Meat craft, 1 упаковка (0,3-0,7 кг)",за 1 кг,1969.0
8,859.99,/products/nozhka-molodogo-barashka-meat-craft-na-kosti-1-upakovka-1-25-1-65-kg/,"Ножка молодого барашка Meat craft на кости, 1 упаковка (1,25-1,65 кг)",за 1 кг,859.99
9,799.0,/products/baranya-kotleta-naturalnaya-na-kosti-1-upakovka-0-4-0-6-kg/,"Баранья котлета на кости натуральная, 1 упаковка (0,4-0,6 кг)",за 1 кг,799.0
10,749.0,/products/baranya-koreyka-1-upakovka-400-600-g/,"Корейка баранья, 1 упаковка (400-600 г)",за 1 кг,749.0
0,279.99,/products/tushka-kuritsy-domashnyaya-kurochka-okhlazhdennaya-1-upakovka-700-1500-g/,"Тушка курицы Домашняя курочка охлажденная, 1 упаковка (700-1500 г)",за 1 кг,279.99
1,329.99,/products/tushka-kuritsy-potroshenaya-chestnaya-ferma-supovaya-1-upakovka-1-1-3-kg/,"Тушка курицы потрошеная Честная ферма суповая, 1 упаковка (1-1,3 кг)",за 1 кг,329.99
2,329.99,/products/tushka-kuritsy-potroshenaya-chestnaya-ferma-dlya-zharki-1-upakovka-1-4-2-2-kg/,"Тушка курицы потрошеная Честная ферма для жарки, 1 упаковка (1,4-2,2 кг)",за 1 кг,329.99
4,118.99,/products/tushka-tsyplenka-broylera-verkhnevolzhskaya-ptitsefabrika-okhlazhdennaya-1-upakovka-1-5-2-5-kg/,"Тушка цыпленка-бройлера Верхневолжская птицефабрика охлажденная, 1 упаковка (1,5-2,5 кг)",за 1 кг,118.99
5,157.99,/products/tushka-tsyplenka-broylera-globus-okhlazhdennaya-1-upakovka-800-1800-g/,"Тушка цыпленка-бройлера Глобус охлажденная, 1 упаковка (800-1800 г)",за 1 кг,157.99
6,149.99,/products/tushka-tsyplenka-broylera-latifa-okhlazhdennaya-potroshenaya-khalyal-1-upakovka-1-7-2-1-kg/,"Тушка цыпленка-бройлера Латифа охлажденная потрошеная халяль, 1 упаковка (1,7-2,1 кг)",за 1 кг,149.99
7,119.99,/products/tushka-tsyplenka-broylera-2-go-sorta-potroshenaya-okhlazhdennaya-1-upakovka-850-1150-g/,"Тушка цыпленка-бройлера 2-го сорта потрошеная охлажденная, 1 упаковка (850-1150 г)",за 1 кг,119.99
8,149.99,/products/tushka-tsyplenka-petelinka-okhlazhdennaya-1-upakovka-1-2-1-8-kg/,"Тушка цыпленка Петелинка охлажденная, 1 упаковка (1,2-1,8 кг)",за 1 кг,149.99
9,159.99,/products/tsyplenok-broyler-okhlazhdennyy-pervaya-svezhest-potroshenyy-khalyal-1-upakovka-1-1-5-kg/,"Цыпленок-бройлер охлажденный Первая Свежесть потрошеный халяль, 1 упаковка (1-1,5 кг)",за 1 кг,159.99
10,149.99,/products/tushka-tsyplyat-broylerov-kurinoe-tsarstvo-potroshenaya-okhlazhdennaya-1-upakovka-1-2-1-8-kg/,"Тушка цыплят-бройлеров Куриное царство потрошеная охлажденная, 1 упаковка (1,2-1,8 кг)",за 1 кг,149.99
11,159.99,/products/tushka-tsyplenka-broylera-kudashka-okhlazhdennaya-1-upakovka-1-4-1-8-kg/,"Тушка цыпленка-бройлера Кудашка охлажденная, 1 упаковка (1,4-1,8 кг)",за 1 кг,159.99
12,139.99,/products/tushka-tsyplenka-broylera-prioskole-okhlazhdennaya-1-upakovka-1-2-1-6-kg/,"Тушка цыпленка-бройлера Приосколье охлажденная, 1 упаковка (1,2-1,6 кг)",за 1 кг,139.99
13,459.99,/products/tushka-tsyplenka-broylera-polnogo-potrosheniya-la-ferme-1-sort-okhlazhdennaya-1-upakovka-1-1-1-3-kg/,"Тушка цыпленка-бройлера охлажденная La Ferme полного потрошения 1 сорт, 1 упаковка (1,1-1,3 кг)",за 1 кг,459.99
14,149.99,/products/tushka-tsyplenka-broylera-belaya-ptitsa-okhlazhdennaya-khalyal-1-upakovka-1-1-8-kg/,"Тушка цыпленка-бройлера Белая птица охлажденная халяль, 1 упаковка (1-1,8 кг)",за 1 кг,149.99
15,142.99,/products/tsyplenok-broyler-okhlazhdennyy-pervaya-svezhest-potroshenyy-1-upakovka-1-1-1-7-kg/,"Цыпленок-бройлер охлажденный Первая Свежесть потрошеный, 1 упаковка (1,1-1,7 кг)",за 1 кг,142.99
16,149.99,/products/tushka-tsyplenka-broylera-petrukha-potroshenaya-okhlazhdennaya-1-upakovka-1-6-1-8-kg/,"Тушка цыпленка-бройлера охлажденная Петруха потрошеная, 1 упаковка (1,6-1,8 кг)",за 1 кг,149.99
71,159.99,/products/tushka-tsyplenka-broylera-mosselprom-okhlazhdennaya-1-upakovka-1-3-1-9-kg/,"Тушка цыпленка-бройлера Моссельпром охлажденная, 1 упаковка (1,3-1,9 кг)",за 1 кг,159.99
0,999.99,/products/ryba-ledyanaya-zamorozhennaya-100-300-g/,"Рыба ледяная замороженная, 100-300 г",за 1 кг,999.99
1,689.99,/products/ledyanaya-ryba-maguro-zamorozhennaya-600-g/,"Ледяная рыба замороженная Магуро, 600 г",за 1 шт.,1149.98
2,249.99,/products/okun-globus-morozhenyy-700-g/,"Окунь Глобус мороженый, 700 г",за 1 шт.,357.13
4,219.99,/products/khek-tushka-zamorozhennyy-150-250-g/,"Хек тушка замороженный, 150-250 г",за 1 кг,219.99
8,396.99,/products/treska-loyn-agama-zamorozhennaya-400-g/,"Лойн трески Agama замороженный, 400 г",за 1 шт.,992.48
10,329.99,/products/treska-steyk-zamorozhennaya-1-kg/,Треска стейк замороженная 1 кг,за 1 кг,329.99
15,329.99,/products/treska-atlanticheskaya-zamorozhennaya-borealis-steyki-600-g/,"Треска атлантическая замороженная Borealis, стейки, 600 г",за 1 шт.,549.98
17,299.99,/products/sudak-zamorozhennyy-1-kg/,"Судак замороженный, 1 кг",за 1 кг,299.99
26,499.99,/products/dorado-zamorozhennaya-400-600-g/,"Дорадо замороженная, 400-600 г",за 1 кг,499.99
29,449.99,/products/okun-morskoy-zamorozhennyy-borealis-steyki-700-g/,"Окунь морской замороженный Borealis, стейки, 700 г",за 1 шт.,642.84
31,199.99,/products/khek-tushka-globus-morozhenaya-700-g/,"Хек мороженый Глобус тушка, 700 г",за 1 шт.,285.7
34,159.99,/products/zubatka-steyk-zamorozhennaya-350-450-g/,"Зубатка стейк замороженная, 350-450 г",за 1 кг,159.99
35,579.99,/products/semga-steyk-fish-more-zamorozhennyy-500-g/,"Семга стейк Fish&More замороженный, 500 г",за 1 шт.,1159.98
36,119.99,/products/moyva-nerazdelanaya-vash-vybor-morozhenaya-700-g/,"Мойва мороженая Ваш выбор неразделанная, 700 г",за 1 шт.,171.41
38,71.99,/products/putassu-nerazdelannaya-vash-vybor-morozhenaya-700-g/,"Путассу неразделанная Ваш выбор мороженая, 700 г",за 1 шт.,102.84
41,279.99,/products/treska-atlanticheskaya-zamorozhennaya-borealis-farsh-750-g/,"Треска атлантическая замороженная Borealis, фарш, 750 г",за 1 шт.,373.32
42,185.99,/products/navaga-zamorozhennaya-350-450-g/,"Навага замороженная, 350-450 г",за 1 кг,185.99
44,169.99,/products/makrorus-zamorozhennyy-tushka-500-1200-g/,"Макрорус замороженный тушка, 500-1200 г",за 1 кг,169.99
46,499.99,/products/sibas-zamorozhennyy-300-400-g/,"Сибас замороженный, 200-300 г",за 1 кг,499.99
47,299.99,/products/zubatka-atlanticheskaya-pestraya-zamorozhennaya-borealis-steyki-600-g/,"Зубатка атлантическая Пестрая замороженная Borealis, стейки, 600 г",за 1 шт.,499.98
51,389.99,/products/forel-raduzhnaya-zamorozhennaya-200-300-g/,"Форель радужная замороженная, 200-300 г",за 1 кг,389.99
54,199.99,/products/kefal-zamorozhennaya-450-550-g/,"Кефаль замороженная, 450-550 г",за 1 кг,199.99
58,139.99,/products/moyva-zamorozhennaya-1-kg/,Мойва замороженная 1 кг,за 1 кг,139.99
59,59.99,/products/putassu-zamorozhennaya-1-kg/,Путассу замороженная 1 кг,за 1 кг,59.99
61,419.99,/products/barabulka-maguro-zamorozhennaya-800-g/,"Барабулька Магуро замороженная, 800 г",за 1 шт.,524.99
62,249.99,/products/lakedra-zamorozhennaya-700-800-g/,"Лакедра замороженная, 700-800 г",за 1 кг,249.99
63,179.99,/products/lemonema-zamorozhennaya-tushka-550-700-g/,"Лемонема замороженная, тушка, 550-700 г",за 1 кг,179.99
67,69.99,/products/khamsa-zamorozhennaya-600-800-g/,"Хамса замороженная, 600-800 г",за 1 кг,69.99
68,129.99,/products/salaka-morozhenaya-1-kg/,"Салака мороженая, 1 кг",за 1 кг,129.99
69,139.99,/products/nalim-zamorozhennyy-1-kg/,Налим замороженный 1 кг,за 1 кг,139.99
70,269.99,/products/skumbriya-zamorozhennaya-krupnaya-400-300-500-g/,"Скумбрия замороженная крупная 400+, 300-500 г",за 1 кг,269.99
73,165.99,/products/skumbriya-nerazdelannaya-zamorozhennaya-300-550-g/,"Скумбрия неразделанная замороженная, 300-550 г",за 1 кг,165.99
74,150.0,/products/zubatka-steyk-globus-zamorozhennaya-1-upakovka-400-700-g/,"Зубатка стейк Глобус замороженная, 1 упаковка (400-700 г)",за 1 кг,150.0
75,659.99,/products/ugor-zamorozhennyy-unagi-kabayaki-zharenyy-s-sousom-300-g/,"Угорь замороженный Unagi Kabayaki жареный с соусом, 300 г",за 1 шт.,2199.97
77,205.99,/products/pelamida-zamorozhennaya-tselaya-2-6-3-2-kg/,"Пеламида замороженная целая, 2,6-3,2 кг",за 1 кг,205.99
79,189.99,/products/krasnoglazka-zamorozhennaya-350-550-g/,"Красноглазка свежемороженная, 350-550 г",за 1 кг,189.99
80,149.99,/products/yaz-zamorozhennyy-500-1200-g/,"Язь замороженный, 500-1200 г",за 1 кг,149.99
81,349.99,/products/barabulka-zamorozhennaya-100-200-g/,"Барабулька замороженная, 100-200 г",за 1 кг,349.99
82,269.99,/products/ryapushka-zamorozhennaya-1-kg/,"Ряпушка замороженная, 1 кг",за 1 кг,269.99
83,199.99,/products/sayra-nerazdelannaya-zamorozhennaya-1-kg/,Сайра неразделанная замороженная 1 кг,за 1 кг,199.99
0,259.99,/products/seld-tikhookeanskaya-globus-file-v-masle-800-g/,"Сельдь Глобус филе в масле, 800 г",за 1 шт.,324.99
1,289.99,/products/seld-tikhookeanskaya-tomilinskaya-file-v-masle-1-kg/,"Сельдь тихоокеанская Томилинская филе в масле, 1 кг",за 1 шт.,289.99
2,175.99,/products/seld-tikhookeanskaya-tomilinskaya-file-v-masle-500-g/,"Сельдь тихоокеанская Томилинская филе в масле, 500 г",за 1 шт.,351.98
3,135.99,/products/seld-tikhookeanskaya-tomilinskaya-file-kusochki-v-vinnom-souse-400-g/,"Сельдь тихоокеанская Томилинская филе-кусочки в винном соусе, 400 г",за 1 шт.,339.98
4,275.99,/products/seld-atlanticheskaya-tomilinskaya-pryanogo-posola-1-3-kg/,"Сельдь атлантическая Томилинская пряного посола, 1,3 кг",за 1 шт.,212.3
5,139.99,/products/seld-meridian-file-kusochki-v-masle-480-g/,"Сельдь Меридиан филе-кусочки в масле, 480 г",за 1 шт.,291.65
6,185.99,/products/seld-tikhookeanskaya-tomilinskaya-klassicheskaya-kusok-spetsposola-1-kg/,"Сельдь тихоокеанская Томилинская классическая кусок спецпосола, 1 кг",за 1 шт.,185.99
7,299.99,/products/seld-atlanticheskaya-tomilinskaya-pryanogo-posola-kusok-1-3-kg/,"Сельдь атлантическая Томилинская пряного посола кусок, 1,3 кг",за 1 шт.,230.76
8,149.99,/products/seld-tikhookeanskaya-tomilinskaya-kusok-pryanogo-posola-750-g/,"Сельдь тихоокеанская Томилинская кусок пряного посола, 750 г",за 1 шт.,199.99
9,139.99,/products/seld-tikhookeanskaya-baltiyskiy-bereg-spetsialnogo-posola-650-g/,"Сельдь тихоокеанская Балтийский берег специального посола, 650 г",за 1 шт.,215.37
10,299.99,/products/seld-vici-nerazdelannaya-krupnaya-zhirnaya-spetsialnogo-posola-1-3-kg/,"Сельдь Vici неразделанная крупная жирная специального посола, 1,3 кг",за 1 шт.,230.76
11,139.99,/products/seld-tikhookeanskaya-tomilinskaya-file-kusochki-v-masle-s-petrushkoy-370-g/,"Сельдь тихоокеанская Томилинская филе-кусочки в масле с петрушкой, 370 г",за 1 шт.,378.35
12,229.99,/products/seld-tikhookeanskaya-tomilinskaya-pryanogo-posola-1-3-kg/,"Сельдь тихоокеанская Томилинская пряного посола, 1,3 кг",за 1 шт.,176.92
13,118.99,/products/seld-atlanticheskaya-stolichnaya-russkoe-more-s-pertsem-200-g/,"Сельдь атлантическая Столичная Русское море с перцем, 200 г",за 1 шт.,594.95
14,139.99,/products/seld-tikhookeanskaya-tomilinskaya-file-kusochki-v-masle-370-g/,"Сельдь тихоокеанская Томилинская филе-кусочки в масле, 370 г",за 1 шт.,378.35
15,139.99,/products/seld-tikhookeanskaya-tomilinskaya-file-kusochki-v-masle-s-chesnokom-370-g/,"Сельдь тихоокеанская Томилинская филе-кусочки в масле с чесноком, 370 г",за 1 шт.,378.35
16,169.99,/products/seld-mate-a-more-file-kusochki-s-dymkom-460-g/,"Сельдь Матье с дымком А`море филе-кусочки, 460 г",за 1 шт.,369.54
17,109.99,/products/seld-tikhookeanskaya-tomilinskaya-pryanogo-posola-500-g/,"Сельдь тихоокеанская Томилинская пряного посола, 500 г",за 1 шт.,219.98
18,169.99,/products/seld-mate-a-more-file-kusochki-s-ukropom-460-g/,"Сельдь Матье с укропом А`море филе-кусочки , 460 г",за 1 шт.,369.54
19,139.99,/products/seld-tikhookeanskaya-tomilinskaya-file-kusochki-v-gorchichnoy-zalivke-370-g/,"Сельдь тихоокеанская Томилинская филе-кусочки в горчичной заливке, 370 г",за 1 шт.,378.35
20,79.99,/products/seld-tikhookeanskaya-tomilinskaya-file-kusochki-v-masle-200-g/,"Сельдь тихоокеанская Томилинская филе-кусочки в масле, 200 г",за 1 шт.,399.95
22,79.99,/products/seledochka-russkoe-more-bochkovaya-slabosolenaya-230-g/,"Селедочка Русское море бочковая слабосоленая, 230 г",за 1 шт.,347.78
23,159.99,/products/seledka-stolichnaya-russkoe-more-v-masle-500-g/,"Селедочка традиционный посол Русское море в масле, 500 г",за 1 шт.,319.98
24,79.99,/products/seledochka-russkoe-more-v-masle-traditsionnyy-posol-230-g/,"Селедочка Русское море в масле традиционный посол, 230 г",за 1 шт.,347.78
25,79.99,/products/seledochka-traditsionnyy-posol-russkoe-more-v-masle-s-ukropom-230-g/,"Селедочка традиционный посол Русское море в масле с укропом, 230 г",за 1 шт.,347.78
26,69.99,/products/seledochka-russkoe-more-s-ukropom-v-masle-200-g/,"Селедочка Русское море с укропом в масле, 200 г",за 1 шт.,349.95
27,69.99,/products/seledochka-russkoe-more-v-masle-200-g/,"Селедочка традиционный посол Русское море в масле, 200 г",за 1 шт.,349.95
28,145.99,/products/seld-v-masle-rybnaya-kukhnya-file-500-g/,"Сельдь Рыбная кухня в масле, филе, 500 г",за 1 шт.,291.98
29,145.99,/products/seld-v-masle-rybnaya-kukhnya-s-lukom-500-g/,"Сельдь Рыбная кухня в масле с луком, филе, 500 г",за 1 шт.,291.98
30,319.99,/products/seld-file-kusochki-a-more-v-krasnom-vinnom-souse-900-g/,"Сельдь филе-кусочки А`море в красном винном соусе, 900 г",за 1 шт.,355.54
